temperatura,umidade,velocidade_vento,precipitacao_mm,dias_sem_chuva,brilho,frp,confianca,ndvi,declividade,bioma,estado,estacao_seca,vento_forte,alto_risco
27.9,47.0,8.0,0.0,30,367.0,125.7,95.0,0.7,11.5,Mata Atlantica,TO,0,0,1
27.9,47.0,8.0,0.0,30,352.4,129.7,65.0,0.7,4.8,Mata Atlantica,TO,0,0,1
27.0,56.0,6.1,0.0,30,367.0,125.7,95.0,0.7,13.8,Mata Atlantica,TO,0,0,1
27.0,56.0,6.1,0.0,30,350.2,5.6,65.0,0.7,14.7,Mata Atlantica,TO,0,0,0
27.8,60.0,7.1,0.0,30,330.1,16.4,65.0,0.5,0.2,Cerrado,TO,0,0,0
27.8,60.0,7.1,0.0,30,349.4,23.3,65.0,0.5,3.5,Cerrado,TO,0,0,1
27.8,60.0,7.1,0.0,30,367.0,38.8,95.0,0.5,10.6,Cerrado,TO,0,0,1
27.8,60.0,7.1,0.0,30,367.0,30.1,95.0,0.5,8.4,Cerrado,TO,0,0,1
28.7,46.0,8.8,0.0,30,337.4,4.2,65.0,0.7,9.9,Mata Atlantica,TO,0,0,1
28.7,46.0,8.8,0.0,30,340.1,6.7,65.0,0.7,5.7,Mata Atlantica,TO,0,0,1
28.7,46.0,8.8,0.0,30,367.0,10.7,95.0,0.7,14.4,Mata Atlantica,TO,0,0,1
28.7,46.0,8.8,0.0,30,334.4,10.7,65.0,0.7,13.9,Mata Atlantica,TO,0,0,1
28.7,46.0,8.8,0.0,30,352.1,6.7,65.0,0.7,10.3,Mata Atlantica,TO,0,0,1
28.7,46.0,8.8,0.0,30,367.0,10.7,95.0,0.7,15.6,Mata Atlantica,TO,0,0,1
28.7,46.0,8.8,0.0,30,335.5,1.9,65.0,0.7,12.3,Mata Atlantica,TO,0,0,1
28.7,46.0,8.8,0.0,30,348.4,4.7,65.0,0.7,5.7,Mata Atlantica,TO,0,0,1
28.7,46.0,8.8,0.0,30,367.0,5.0,95.0,0.7,11.8,Mata Atlantica,TO,0,0,1
28.7,46.0,8.8,0.0,30,356.5,4.7,65.0,0.7,5.2,Mata Atlantica,TO,0,0,1
28.7,46.0,8.8,0.0,30,340.6,5.0,65.0,0.7,14.4,Mata Atlantica,TO,0,0,0
26.0,68.0,3.8,0.0,30,343.2,4.0,65.0,0.5,9.8,Cerrado,TO,0,0,0
26.0,68.0,3.8,0.0,30,341.9,5.2,65.0,0.5,9.1,Cerrado,TO,0,0,0
28.6,57.0,4.6,0.0,30,332.4,5.3,65.0,0.5,6.6,Cerrado,TO,0,0,1
28.6,57.0,4.6,0.0,30,336.3,3.3,65.0,0.5,16.1,Cerrado,TO,0,0,1
24.0,74.0,15.0,0.0,30,345.2,10.7,65.0,0.3,9.2,Caatinga,BA,0,0,1
27.6,61.0,10.2,0.0,30,356.0,19.0,65.0,0.5,7.9,Cerrado,TO,0,0,1
27.6,61.0,10.2,0.0,30,351.3,22.9,65.0,0.5,8.2,Cerrado,TO,0,0,1
28.7,37.0,14.0,0.0,30,333.4,6.8,65.0,0.3,12.7,Caatinga,BA,0,0,1
27.6,61.0,10.2,0.0,30,344.0,4.8,65.0,0.5,11.8,Cerrado,TO,0,0,1
27.6,61.0,10.2,0.0,30,345.3,6.2,65.0,0.5,12.1,Cerrado,TO,0,0,1
27.6,61.0,10.2,0.0,30,344.5,6.2,65.0,0.5,12.2,Cerrado,TO,0,0,1
27.6,61.0,10.2,0.0,30,343.7,16.6,65.0,0.5,20.7,Cerrado,TO,0,0,0
27.6,61.0,10.2,0.0,30,330.7,4.8,65.0,0.5,8.0,Cerrado,TO,0,0,1
27.6,61.0,10.2,0.0,30,335.5,6.7,65.0,0.5,7.4,Cerrado,TO,0,0,1
28.1,39.0,10.5,0.0,30,341.5,11.6,65.0,0.7,5.9,Mata Atlantica,TO,0,0,1
29.8,33.0,15.7,0.0,30,338.4,4.6,65.0,0.3,13.1,Caatinga,BA,0,0,1
29.4,46.0,11.9,0.0,30,334.9,5.4,65.0,0.5,15.6,Cerrado,TO,0,0,1
29.4,46.0,11.9,0.0,30,347.1,5.4,65.0,0.5,9.4,Cerrado,TO,0,0,1
29.4,46.0,11.9,0.0,30,334.8,7.2,65.0,0.5,5.8,Cerrado,TO,0,0,1
29.4,46.0,11.9,0.0,30,342.4,7.4,65.0,0.5,5.9,Cerrado,TO,0,0,1
28.9,48.0,11.4,0.0,30,334.9,4.9,65.0,0.5,13.3,Cerrado,TO,0,0,1
27.5,41.0,7.7,0.0,30,341.1,13.2,65.0,0.7,13.7,Mata Atlantica,TO,0,0,1
27.5,41.0,7.7,0.0,30,340.8,13.6,65.0,0.7,12.7,Mata Atlantica,TO,0,0,1
26.1,59.0,4.3,0.0,30,343.6,13.2,65.0,0.7,6.7,Mata Atlantica,TO,0,0,0
27.5,41.0,7.7,0.0,30,339.9,13.6,65.0,0.7,11.2,Mata Atlantica,TO,0,0,1
23.4,72.0,9.5,0.0,30,331.6,2.7,65.0,0.3,10.6,Caatinga,??,0,0,0
25.9,64.0,3.0,0.0,30,367.0,19.2,95.0,0.7,11.1,Mata Atlantica,TO,0,0,0
28.9,40.0,4.4,0.0,30,341.6,17.4,65.0,0.7,14.4,Mata Atlantica,TO,0,0,1
27.5,70.0,1.3,0.0,30,330.6,3.8,65.0,0.5,11.1,Cerrado,MT,0,0,0
22.0,68.0,14.8,0.0,30,332.2,7.6,65.0,0.3,13.4,Caatinga,BA,0,0,1
22.0,68.0,14.8,0.0,30,333.5,7.6,65.0,0.3,10.3,Caatinga,BA,0,0,1
24.5,69.0,12.0,0.0,30,336.5,2.3,65.0,0.3,11.4,Caatinga,??,0,0,1
24.5,69.0,12.0,0.0,30,330.8,2.3,65.0,0.3,13.2,Caatinga,??,0,0,1
28.1,41.0,9.4,0.0,30,330.3,0.3,65.0,0.7,2.7,Mata Atlantica,BA,0,0,1
27.4,65.0,11.0,0.0,30,345.5,8.4,65.0,0.5,8.4,Cerrado,TO,0,0,1
27.4,65.0,11.0,0.0,30,355.3,10.9,65.0,0.8,7.6,Amazonia,PA,0,0,1
27.0,41.0,11.9,0.0,30,344.4,38.3,65.0,0.3,6.8,Caatinga,BA,0,0,1
27.0,41.0,11.9,0.0,30,344.5,38.3,65.0,0.3,8.6,Caatinga,BA,0,0,1
30.5,40.0,11.0,0.0,30,332.7,9.7,65.0,0.8,17.5,Amazonia,PA,0,0,1
30.5,40.0,11.0,0.0,30,367.0,11.0,95.0,0.8,5.7,Amazonia,PA,0,0,1
30.5,40.0,11.0,0.0,30,335.1,11.0,65.0,0.8,14.8,Amazonia,PA,0,0,1
30.5,40.0,11.0,0.0,30,367.0,8.8,95.0,0.8,1.6,Amazonia,PA,0,0,1
24.1,70.0,13.1,0.0,30,331.4,1.6,65.0,0.3,8.3,Caatinga,??,0,0,0
24.9,66.0,13.9,0.0,30,338.2,4.8,65.0,0.3,10.8,Caatinga,??,0,0,1
24.5,67.0,14.1,0.0,30,341.3,4.1,65.0,0.3,12.9,Caatinga,??,0,0,0
24.5,67.0,14.1,0.0,30,341.3,2.3,65.0,0.3,13.6,Caatinga,BA,0,0,0
24.5,67.0,14.1,0.0,30,333.3,2.3,65.0,0.3,14.0,Caatinga,BA,0,0,1
30.5,37.0,9.4,0.0,30,331.0,1.7,65.0,0.8,8.3,Amazonia,PA,0,0,1
25.4,69.0,7.6,0.0,30,335.5,4.6,65.0,0.7,7.7,Mata Atlantica,??,0,0,0
25.4,69.0,7.6,0.0,30,340.0,7.6,65.0,0.8,14.3,Amazonia,PA,0,0,0
25.4,69.0,7.6,0.0,30,345.0,7.5,65.0,0.8,9.0,Amazonia,PA,0,0,1
25.4,69.0,7.6,0.0,30,331.7,2.2,65.0,0.8,3.6,Amazonia,PA,0,0,0
25.4,69.0,7.6,0.0,30,340.0,8.5,65.0,0.8,4.3,Amazonia,PA,0,0,1
25.4,69.0,7.6,0.0,30,348.9,8.5,65.0,0.8,5.4,Amazonia,PA,0,0,0
25.4,69.0,7.6,0.0,30,336.3,7.6,65.0,0.8,12.5,Amazonia,PA,0,0,0
25.4,69.0,7.6,0.0,30,344.4,20.4,65.0,0.8,10.7,Amazonia,PA,0,0,0
25.4,69.0,7.6,0.0,30,367.0,20.4,95.0,0.8,13.5,Amazonia,PA,0,0,0
25.4,69.0,7.6,0.0,30,367.0,16.8,95.0,0.8,7.9,Amazonia,PA,0,0,1
25.4,69.0,7.6,0.0,30,336.8,3.4,65.0,0.8,10.8,Amazonia,PA,0,0,0
25.4,69.0,7.6,0.0,30,352.0,9.9,65.0,0.3,13.1,Caatinga,BA,0,0,1
25.4,69.0,7.6,0.0,30,342.1,4.0,65.0,0.3,8.5,Caatinga,BA,0,0,1
25.4,69.0,7.6,0.0,30,349.7,6.3,65.0,0.3,12.3,Caatinga,??,0,0,1
25.4,69.0,7.6,0.0,30,342.0,3.7,65.0,0.3,6.7,Caatinga,BA,0,0,0
25.4,69.0,7.6,0.0,30,341.0,9.0,65.0,0.3,8.2,Caatinga,BA,0,0,1
25.4,69.0,7.6,0.0,30,333.3,2.2,65.0,0.3,8.1,Caatinga,BA,0,0,0
25.4,69.0,7.6,0.0,30,335.7,6.7,65.0,0.8,4.0,Amazonia,PA,0,0,1
25.4,69.0,7.6,0.0,30,367.0,15.3,95.0,0.8,12.4,Amazonia,PA,0,0,0
25.4,69.0,7.6,0.0,30,328.4,6.0,65.0,0.8,7.7,Amazonia,PA,0,0,0
25.4,69.0,7.6,0.0,30,330.2,2.1,65.0,0.3,10.1,Caatinga,BA,0,0,1
